Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
CPCT02070320T	1.84E+01	1.92E+00	2.60E+00	1.90E+01	4.90E+00	7.17E+00	2.69E+00	4.37E+00	2.06E+00	2.21E+00	6.81E+00	1.64E+00	3.32E+00	1.49E+00
WIDE01010217T	3.61E+01	1.88E+00	2.65E+00	4.52E+01	1.04E+01	1.03E+01	2.99E+00	4.31E+00	1.71E+00	1.79E+00	1.04E+01	3.55E+00	5.23E+00	2.08E+00
CPCT02070321T	9.34E-01	4.23E-01	4.61E-01	1.26E+00	4.00E-01	1.19E+00	1.33E+00	1.29E+00	6.96E-01	9.69E-01	1.74E+00	1.53E+00	1.14E+00	1.61E-01
WIDE01010191T	6.51E-01	3.80E-01	9.28E-01	1.21E+00	8.50E-01	1.03E+00	1.04E+00	1.15E+00	4.10E-01	7.49E-01	7.96E-01	6.71E-01	1.22E+00	6.70E-01
WIDE01010256T	4.47E+00	6.13E-01	6.89E-01	5.36E+00	3.88E+00	3.88E+00	1.93E+00	1.58E+00	8.83E-01	7.87E-01	1.30E+00	6.17E-01	1.48E+00	7.28E-01
WIDE01010241T	2.51E+00	3.71E+00	4.14E+00	9.29E-01	1.71E+00	2.96E+00	1.99E+00	2.75E+00	1.10E+00	1.19E+00	5.67E+00	5.17E+00	2.53E+00	7.39E-01
WIDE01010253T	1.72E+00	2.52E+00	3.31E+00	1.57E+00	1.56E+00	1.65E+00	1.68E+00	3.46E+00	9.75E-01	1.14E+00	3.55E+00	1.05E+00	2.54E+00	7.45E-01
WIDE01010260T	7.94E+00	1.22E+00	1.65E+00	1.39E+01	7.18E+00	8.55E+00	2.15E+00	5.38E+00	1.54E+00	1.58E+00	3.43E+00	1.97E+00	1.82E+00	2.84E+00
CPCT02010797T	3.17E+01	2.70E+00	3.84E+00	3.10E+01	6.27E+00	7.01E+00	2.71E+00	4.61E+00	2.00E+00	2.95E+00	1.24E+01	1.80E+00	6.24E+00	2.00E+00
WIDE01010276T	1.97E+01	2.09E+00	2.53E+00	2.63E+01	9.67E+00	7.52E+00	2.87E+00	6.33E+00	1.59E+00	2.28E+00	9.43E+00	2.29E+00	3.52E+00	2.07E+00
