Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
CPCT02170032T	37	99	7	37	7	28	0	3	50	33	10	16	3	0	2	19	24	5	4
DRUP01070046T	70	60	1	0	48	41	0	13	24	35	9	48	12	194	0	50	0	0	8
WIDE01010565T	56	48	8	29	713	26	0	144	95	0	41	32	317	0	0	64	43	0	12
CPCT02020787T	5	121	15	32	30	16	0	37	43	41	0	3	0	0	17	7	349	18	16
CPCT02020778T	536	126	11	106	39	38	0	23	45	33	101	65	111	0	14	231	24	0	59
CPCT02050385T	72	127	14	115	12	100	146	45	157	102	11	67	106	92	105	60	41	104	85
CPCT02130142T	30	109	36	69	44	138	149	21	116	79	34	25	16	0	6	41	27	0	17
CPCT02020800T	6	54	0	82	35	0	139	21	38	83	16	29	19	0	0	0	5	21	4
CPCT02050395T	17	71	17	128	13	40	150	128	123	59	14	0	71	0	116	10	45	0	16
DRUP01070048T	39	23	8	31	43	176	20	7	36	150	34	11	0	123	60	16	27	0	18
CPCT02020817T	39	114	0	83	0	38	24	0	36	25	27	17	48	37	25	3	12	0	11
CPCT02080263T	33	85	8	88	11	32	8	0	0	118	11	22	0	56	43	22	10	0	11
CPCT02010944T	43	39	27	78	19	113	65	30	69	49	39	39	58	0	8	28	31	0	10
CPCT02020832T	105	183	20	92	10	87	0	34	0	94	42	0	0	36	92	78	27	68	10
CPCT02050351TII	63	69	0	105	14	35	0	29	24	41	2	52	82	0	36	77	28	57	12
CPCT02120168T	13	17	1	70	30	6	0	10	64	20	18	54	58	0	31	28	13	0	9
CPCT02440016T	67	81	0	64	23	158	31	61	9	181	9	16	37	127	0	0	7	57	16
CPCT02010935T	92	155	9	52	62	115	0	24	74	49	25	113	122	0	0	0	3	0	22
CPCT02010963T	145	19	16	121	43	114	0	19	41	58	41	39	9	301	50	41	45	0	63
CPCT02070401T	121	61	0	79	3	57	0	14	0	70	13	42	62	51	32	65	17	0	10
CPCT02230056T	2461	0	42	2050	727	351	478	154	0	181	219	36	0	0	290	92	123	53	63
CPCT02040169T	9716	746	348	644	619	180	0	185	47	26	271	84	97	0	0	11	81	0	5
CPCT02020859T	62	44	14	0	52	32	0	15	0	100	37	64	0	0	5	20	14	10	18
CPCT02020633TII	142	43	0	0	68	168	90	45	18	83	52	106	9	206	25	114	8	0	33
CPCT02020621TII	35	132	32	75	98	435	11	0	38	110	48	76	0	0	27	44	15	0	17
CPCT02020586T	229	102	54	0	23	227	16	39	27	71	90	73	82	63	33	39	18	0	31
CPCT02070237T	464	93	0	152	94	58	388	24	24	39	43	72	38	85	0	7	68	0	5
CPCT02080273T	62279	17589	10893	1521	2	610	2600	0	734	66	424	0	0	0	0	0	174	0	171
CPCT02070410T	232	277	14	295	291	0	36	379	160	101	47	21	203	0	27	109	56	53	36
CPCT02020600T	354	72	65	111	29	364	54	17	86	65	82	94	96	144	6	14	18	0	29
CPCT02010963TII	126	30	8	70	39	125	0	7	259	11	24	0	0	335	24	94	29	0	275
CPCT02120056T	107	140	27	173	35	125	0	0	51	75	18	21	39	35	31	36	14	0	7
CPCT02020840T	24	138	19	12	28	121	0	17	24	0	21	10	34	73	24	32	18	0	18
CPCT02040164T	479	263	73	341	477	81	206	80	22	113	54	51	0	48	37	24	29	1	8
CPCT02070244T	26	8	2	183	147	138	0	0	0	46	169	43	332	13	12	139	77	3	5
CPCT02020619T	127	94	16	175	54	74	0	172	48	128	69	34	76	141	54	67	3	0	35
CPCT02020633T	72	43	7	67	0	121	88	31	34	41	49	49	56	0	27	14	9	0	26
CPCT02010663T	150	59	4	68	173	58	0	109	43	76	87	91	162	0	15	0	15	0	33
CPCT02020614T	315	170	20	183	44	165	0	37	92	26	71	49	0	0	10	45	43	195	28
CPCT02290020T	82	75	37	157	47	9	0	4	53	67	7	33	0	77	0	54	9	0	26
CPCT02020632T	313	54	10	363	77	15	307	41	8	144	15	83	0	0	3	0	88	50	68
