Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
CPCT02300006T	4.12E+00	3.67E+00	4.87E+00	3.30E+00	2.03E+00	6.11E+00	8.71E-01	2.25E+00	1.46E+00	2.29E+00	3.50E+00	7.83E-01	1.79E+00
CPCT02080066T	4.20E+00	3.52E+00	2.89E+00	3.63E+00	8.09E-01	3.45E+00	6.11E-01	1.63E+00	1.61E+00	1.90E+00	2.61E+00	9.05E-01	1.97E+00
CPCT02010492T	1.34E+00	1.12E+00	6.37E-02	9.29E-01	1.41E+00	2.06E-01	4.80E-01	2.11E+00	1.82E+00	2.18E+00	7.29E-01	1.02E+00	1.67E+00
CPCT02020460T	7.07E-01	6.35E-01	2.55E+00	1.89E+00	1.37E+00	3.37E+00	6.24E-01	2.07E+00	1.41E+00	2.20E+00	1.07E+00	0.00E+00	2.40E+00
DRUP01010019T	5.83E+00	4.71E+00	1.08E+01	5.86E+00	1.72E+00	1.20E+01	1.32E+00	5.43E+00	6.74E+00	4.88E+00	4.90E+00	1.15E+00	2.68E+00
CPCT02050133T	1.18E+01	9.97E+00	1.09E+01	6.60E+00	1.55E+00	1.25E+01	9.41E-01	1.75E+00	1.88E+00	5.58E+00	7.42E+00	2.09E+00	2.04E+00
CPCT02050144T	4.13E+01	3.72E+01	2.17E+01	3.05E+01	3.13E+00	2.55E+01	1.86E+00	3.40E+00	3.87E+00	1.25E+01	2.57E+01	6.31E+00	5.68E+00
CPCT02050286T	8.44E+00	6.70E+00	9.67E+00	7.35E+00	6.11E+00	1.21E+01	5.02E+00	5.84E+00	2.91E+00	1.05E+01	7.43E+00	2.50E+00	4.53E+00
CPCT02130006T	1.39E+01	1.20E+01	7.53E+00	1.20E+01	2.54E+00	7.56E+00	8.11E-01	1.88E+00	3.00E+00	3.67E+00	1.04E+01	1.14E+00	3.10E+00
CPCT02130003T	2.70E+00	2.12E+00	3.25E+00	2.54E+00	2.17E+00	3.83E+00	1.11E+00	2.46E+00	1.63E+00	2.35E+00	1.96E+00	0.00E+00	1.48E+00
CPCT02340039T	8.88E+00	7.04E+00	6.68E+00	6.41E+00	2.41E+00	8.08E+00	1.01E+00	2.23E+00	2.36E+00	4.70E+00	6.56E+00	1.19E+00	2.47E+00
CPCT02230075T	5.82E+00	5.35E+00	2.91E+00	4.49E+00	1.24E+00	3.49E+00	6.22E-01	1.07E+00	9.43E-01	1.59E+00	3.32E+00	4.52E-01	1.93E+00
CPCT02080169T	3.89E+00	3.23E+00	4.60E+00	4.93E+00	2.33E+00	6.38E+00	8.64E-01	2.90E+00	1.59E+00	1.27E+00	2.93E+00	6.35E-01	3.84E+00
CPCT02150005T	1.69E+00	1.51E+00	2.77E+00	3.55E+00	2.02E+00	3.30E+00	8.81E-01	2.71E+00	2.60E+00	1.98E+00	1.62E+00	7.91E-01	2.33E+00
WIDE01010522T	1.32E+00	1.06E+00	2.67E+00	2.53E+00	1.83E+00	3.72E+00	7.28E-01	2.38E+00	1.63E+00	2.93E+00	1.03E+00	1.09E+00	2.14E+00
WIDE01010696T	1.05E+00	8.26E-01	2.98E+00	2.37E+00	8.21E-01	3.65E+00	5.59E-01	2.33E+00	2.17E+00	1.66E+00	1.59E+00	9.56E-01	2.16E+00
