Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
CPCT02140085TII	80	167	56	73	8	114	75	46	313
CPCT02160042T	7	22	23	33	28	55	70	12	25
CPCT02230128T	10	213	34	32	53	64	51	43	172
WIDE01010142T	43	65	14	38	28	70	36	21	25
WIDE01010185T	112	0	386	0	164	686	42	126	1
CPCT02180049T	0	102	74	247	336	72	107	48	15
CPCT02010791T	47	109	8	136	91	88	102	38	12
CPCT02120114T	98	111	32	81	30	86	132	40	9
CPCT02120117T	42	144	1412	80	36	133	288	112	192
CPCT02220041T	57	122	69	0	189	144	184	52	41
CPCT02120121T	17	155	21	41	28	43	136	12	0
CPCT02160041T	38	115	24	35	40	14	57	56	51
WIDE01010093TII	50	20	222	29	158	71	41	67	36
WIDE01010173T	0	20	16	100	117	57	35	30	8
CPCT02250007T	21	50	79	80	91	88	166	54	20
CPCT02020597TIII	38	267	53	22	109	250	64	39	191
WIDE01010171T	36	29	13	42	0	38	53	39	161
WIDE01010162T	34	161	1241	52	176	34	149	33	318
CPCT02050299T	12	31	8	0	38	18	113	131	0
CPCT02080029TII	90	133	28	55	11	97	99	25	9
WIDE01010207T	38	181	39	58	78	98	48	22	29
CPCT02030472T	24	245	50	109	299	104	198	317	6
CPCT02100164T	96	79	34	15	56	62	119	123	18
CPCT02100170T	45	55	45	234	210	41	97	127	21
WIDE01010174T	55	128	40	90	131	90	28	68	30
WIDE01010183T	52	113	355	9	83	63	71	131	55
WIDE01010212T	146	136	43	122	335	92	30	72	33
WIDE01010274T	124	41	28	53	17	134	31	27	128
CPCT02410004T	44	74	45	19	75	84	144	52	20
WIDE01010235T	120	101	20	91	50	57	37	85	43
WIDE01010231T	6	69	70	120	44	77	31	15	28
CPCT02370024T	7	129	69	139	240	77	69	94	18
CPCT02140091TII	3071	2111	730	399	0	63	199	81	334
CPCT02360015T	29	92	21	85	38	69	151	27	29
WIDE01010240T	2	82	23	22	20	53	52	34	25
