Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP110851	3.49E+00	6.69E+00	4.28E+00	9.47E+00	6.35E-01	1.56E+00	1.91E+00	2.63E+00
SP111059	2.96E+00	5.21E+00	3.94E+00	7.20E+00	9.61E-01	1.73E+00	2.07E+00	2.97E+00
SP111170	4.94E+00	5.58E+00	4.89E+00	6.50E+00	1.62E+00	2.70E+00	2.82E+00	2.68E+00
SP111054	4.67E+00	5.24E+00	7.69E+00	4.20E+00	3.62E-01	2.19E+00	2.07E+00	2.33E+00
SP111033	4.39E+00	5.12E+00	3.76E+00	3.86E+00	4.81E-01	1.75E+00	1.96E+00	1.85E+00
SP111113	7.45E+00	9.51E+00	1.16E+01	7.63E+00	1.50E+00	6.03E+00	2.79E+00	3.17E+00
SP110865	8.33E+00	7.96E+00	8.69E+00	7.70E+00	1.26E+00	4.97E+00	9.62E+00	4.42E+00
SP111061	2.83E+00	4.49E+00	3.30E+00	6.83E+00	2.49E-01	2.43E+00	1.18E+00	2.57E+00
SP111101	7.64E+00	7.83E+00	9.74E+00	4.48E+00	0.00E+00	2.09E+00	1.56E+00	6.97E-01
SP110859	3.06E+00	4.16E+00	2.95E+00	4.35E+00	7.73E-01	2.12E+00	1.20E+00	2.78E+00
SP111168	1.44E+00	2.67E+00	2.40E+00	4.06E+00	8.76E-01	1.32E+00	1.17E+00	2.15E+00
SP111067	1.89E+00	3.48E+00	3.22E+00	5.39E+00	6.84E-01	1.16E+00	1.16E+00	2.12E+00
SP111036	3.39E+00	3.93E+00	2.34E+00	4.58E+00	4.38E-01	1.13E+00	1.19E+00	2.25E+00
SP111116	4.65E+00	5.38E+00	3.86E+00	5.74E+00	1.24E+00	2.54E+00	1.25E+00	2.48E+00
SP111099	4.11E+00	5.84E+00	5.69E+00	9.45E+00	9.19E-01	3.32E+00	1.39E+00	3.76E+00
SP23502	5.34E+00	6.83E+00	9.62E+00	8.30E+00	2.57E-01	7.67E+00	2.29E+00	3.18E+00
SP111069	4.62E+00	6.08E+00	5.01E+00	3.83E+00	8.77E-01	6.86E+00	2.00E+00	1.84E+00
SP111043	5.22E+00	7.17E+00	7.12E+00	7.91E+00	1.68E+00	4.78E+00	3.65E+00	2.07E+00
SP111024	3.57E+00	4.26E+00	4.31E+00	4.93E+00	1.23E+00	2.61E+00	1.89E+00	1.74E+00
SP111011	3.41E+00	6.11E+00	6.35E+00	1.12E+01	6.49E-01	3.37E+00	1.60E+00	3.76E+00
SP111082	4.60E+00	4.78E+00	4.51E+00	4.92E+00	1.29E+00	5.12E+00	1.48E+00	1.93E+00
SP111074	3.10E+00	3.72E+00	4.86E+00	4.31E+00	6.10E-01	2.02E+00	2.14E+00	2.15E+00
SP110845	3.68E+00	3.89E+00	5.82E+00	5.42E+00	9.52E-01	3.48E+00	1.83E+00	1.41E+00
SP110857	3.02E+00	3.67E+00	3.11E+00	4.08E+00	0.00E+00	1.40E+00	1.27E+00	1.65E+00
SP111017	3.72E+00	4.68E+00	3.31E+00	4.96E+00	1.15E+00	2.12E+00	1.84E+00	2.08E+00
SP111080	1.14E+00	1.92E+00	2.16E+00	2.67E+00	3.45E-01	8.19E-01	9.17E-01	1.18E+00
SP23506	1.86E+00	4.49E+00	3.63E+00	6.85E+00	0.00E+00	7.72E-01	1.90E+00	2.58E+00
SP111075	3.22E+00	3.78E+00	3.57E+00	6.06E+00	1.17E+00	4.03E+00	1.36E+00	2.06E+00
SP111112	2.73E+00	4.18E+00	2.98E+00	5.44E+00	1.07E+00	2.05E+00	1.38E+00	2.10E+00
SP111001	6.22E+00	6.68E+00	9.05E+00	7.27E+00	1.95E+00	6.05E+00	2.85E+00	2.98E+00
SP111027	9.86E-01	1.81E+00	2.07E+00	2.78E+00	1.30E-01	0.00E+00	9.85E-01	1.40E+00
SP111117	4.14E+00	5.41E+00	3.57E+00	6.29E+00	8.84E-01	2.23E+00	2.53E+00	2.14E+00
SP110842	4.12E+00	5.62E+00	4.48E+00	7.43E+00	9.68E-01	3.53E+00	1.76E+00	2.93E+00
SP111173	9.75E+00	1.01E+01	1.63E+01	6.45E+00	8.82E-01	5.86E+00	1.76E+00	2.16E+00
SP111008	3.58E+00	4.41E+00	4.39E+00	5.41E+00	1.00E+00	1.51E+00	1.33E+00	2.02E+00
SP111070	4.16E+00	6.42E+00	4.47E+00	8.17E+00	1.02E+00	1.40E+00	1.86E+00	2.73E+00
SP110847	3.91E+00	4.81E+00	2.83E+00	4.28E+00	6.12E-01	1.76E+00	1.09E+00	1.97E+00
SP111077	4.13E+00	5.97E+00	7.09E+00	9.58E+00	1.02E+00	3.69E+00	2.37E+00	3.91E+00
SP111091	4.09E-01	2.43E+00	3.95E+00	5.73E+00	2.65E-01	2.50E+00	9.12E-01	2.25E+00
SP111072	2.64E+00	4.41E+00	3.09E+00	6.09E+00	9.09E-01	1.10E+00	1.35E+00	2.11E+00
SP111084	2.56E+00	3.77E+00	4.03E+00	5.36E+00	6.22E-01	4.22E+00	2.07E+00	2.36E+00
SP23504	1.89E+00	2.78E+00	2.28E+00	3.22E+00	8.76E-01	7.56E-01	1.13E+00	1.81E+00
SP23500	1.07E+00	2.37E+00	2.13E+00	3.82E+00	3.19E-01	1.80E+00	7.36E-01	1.37E+00
SP111029	1.10E+00	2.39E+00	2.02E+00	3.84E+00	1.15E+00	4.63E-01	7.68E-01	1.55E+00
SP111175	9.86E+00	1.55E+01	1.95E+01	7.55E+00	1.31E+00	1.62E+01	3.32E+00	2.75E+00
SP111049	3.62E+00	4.86E+00	3.17E+00	5.13E+00	7.03E-01	1.78E+00	1.73E+00	2.00E+00
SP23498	3.69E+00	4.68E+00	4.14E+00	6.21E+00	6.17E-01	1.79E+00	1.94E+00	2.54E+00
SP111002	1.27E+00	2.42E+00	2.17E+00	3.80E+00	1.41E-01	1.26E+00	1.10E+00	1.54E+00
SP110866	3.29E+00	3.92E+00	3.96E+00	3.26E+00	2.97E-01	2.42E+00	9.68E-01	1.42E+00
SP111035	5.95E+00	6.62E+00	6.82E+00	2.16E+00	1.58E+00	4.56E+00	1.69E+00	2.10E+00
SP111009	3.74E+00	4.09E+00	3.71E+00	4.74E+00	8.47E-01	2.46E+00	3.12E+00	1.39E+00
SP111114	8.72E+00	8.89E+00	1.03E+01	6.08E+00	1.58E+00	5.25E+00	1.95E+00	2.49E+00
