MutationType	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID14	ID17	ID19
5:Ins:R:2	0.00025483	0.00000553	0.00000551	0.00022203	0.00029880	0.00132184	0.00010115	0.00048831	0.00000005	0.00024644
5:Ins:R:3	0.00023709	0.00009770	0.00003320	0.00000759	0.00016555	0.00002880	0.00007090	0.00010383	0.00000005	0.00173759
5:Ins:R:4	0.00026187	0.00000215	0.00000787	0.00002530	0.00012671	0.00004830	0.00000674	0.00015759	0.00000004	0.00016509
5:Ins:R:5	0.00011983	0.00011563	0.00000348	0.00016023	0.00062634	0.00006170	0.00019055	0.00002150	0.00000004	0.00000224
2:Del:M:1	0.00119782	0.00017555	0.00693076	0.18899749	0.02868795	0.00063287	0.00491367	0.00264093	0.00366897	0.00236192
3:Del:M:1	0.00008190	0.00000055	0.00034461	0.00703416	0.01315715	0.00099010	0.00929034	0.00157517	0.00488730	0.00014290
3:Del:M:2	0.00147959	0.00294406	0.00030285	0.04941660	0.00900421	0.00443363	0.00430269	0.00323693	0.00368108	0.00118844
4:Del:M:1	0.00008380	0.00014700	0.00007350	0.01098172	0.00873220	0.00274539	0.00580955	0.00000820	0.01097973	0.00123037
4:Del:M:2	0.00014548	0.00055061	0.00034022	0.02948388	0.00604719	0.00868271	0.00159159	0.00095049	0.00489044	0.00011789
4:Del:M:3	0.00016068	0.00069357	0.00013046	0.04886664	0.00344244	0.00477309	0.00109834	0.00223043	0.00365962	0.00041202
5:Del:M:1	0.00000082	0.00062496	0.00136963	0.00045312	0.00861707	0.07106658	0.28072426	0.00655171	0.02077133	0.00007270
5:Del:M:2	0.00000000	0.00011771	0.00175127	0.00013623	0.00785102	0.25310835	0.12361016	0.00449863	0.01229006	0.00069074
5:Del:M:3	0.00000000	0.00005670	0.00077496	0.00111224	0.00715797	0.21680603	0.04613041	0.00140449	0.00859626	0.00061764
5:Del:M:4	0.00003880	0.00046284	0.00064056	0.00365295	0.00249255	0.12048394	0.01636726	0.00010014	0.00489791	0.00005320
5:Del:M:5	0.00066512	0.00236732	0.00036297	0.00004560	0.00111237	0.09928300	0.01281488	0.00093151	0.00607564	0.00331746
