Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
CPCT02020582T	1	17	71	32	56	50	63	25	12	7
DRUP01050040T	445	2	427	0	15	206	45	13	12	0
CPCT02180041T	114	51	170	66	61	40	125	31	32	20
CPCT02060137T	3	19	14	15	15	36	44	9	6	0
CPCT02070403T	0	7	5	32	15	7	26	3	0	18
CPCT02050264T	107	17	274	60	51	49	110	6	7	19
CPCT02060143T	507	1136	422	326	148	60	64	38	57	25
CPCT02010988T	8	7	53	64	14	44	65	15	22	11
CPCT02010993T	56	39	51	244	200	28	35	55	27	45
CPCT02450003T	32	75	241	112	23	0	69	20	16	20
CPCT02230049T	5	285	144	0	958	48	148	26	60	10
CPCT02010995T	28	64	142	52	56	66	61	48	25	5
CPCT02010878TII	17	30	130	0	9	211	64	33	117	24
CPCT02010656T	2	6	12	0	13	1	91	0	6	14
CPCT02010645T	9	12	55	24	12	29	85	6	14	8
DRUP01330016T	459	113	688	403	370	150	88	37	329	111
DRUP01080005T	52	3207	29	0	149	177	465	55	100	0
CPCT02020879T	59	24	74	125	70	16	29	17	13	15
DRUP01090004T	14	37	0	194	132	95	94	210	17	24
CPCT02020613T	16	56	123	106	100	110	64	13	31	2
DRUP01110006T	120	43	395	72	33	62	36	17	32	17
CPCT02010993TII	57	44	63	243	208	7	38	43	6	47
CPCT02060125T	69	45	231	81	104	19	193	40	19	27
CPCT02010647T	59	0	263	161	31	32	136	23	25	1
CPCT02170013T	1062	3	247	25	83	127	135	55	51	0
CPCT02170009T	16	25	35	75	17	39	168	2	7	6
CPCT02170012T	45	24	223	0	18	161	149	0	9	11
CPCT02020608T	2	7	20	28	35	0	159	13	1	0
CPCT02010653T	6	22	22	50	24	25	131	2	9	0
CPCT02230061T	328	44	424	101	36	39	124	67	5	26
CPCT02050282T	264	47	418	33	121	164	129	36	61	9
CPCT02010560T	10	4	16	21	10	31	23	7	5	12
CPCT02380007T	14	17	85	15	15	15	37	14	4	4
CPCT02380006T	108	1041	66	158	72	29	32	32	57	20
CPCT02080105T	214	2449	285	302	17	212	23	72	75	67
CPCT02340010T	263	12	33	0	156	32	48	2196	26	14
CPCT02010574T	17	27	90	18	23	49	39	16	12	12
CPCT02180026T	424	84	424	338	320	76	32	56	194	26
CPCT02100074T	6	26	216	47	26	48	70	43	7	21
CPCT02120018T	19	27	152	20	5	89	67	24	9	25
CPCT02380008T	0	56	429	28	33	21	26	5	1	23
CPCT02170003T	12	30	64	0	28	31	183	7	0	7
CPCT02020523T	67	0	75	66	111	64	49	17	26	30
