Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
SP68725	176	12	64	29	5	0	0	6	46	29	11	20	8	0	3	7	1
SP67609	783	1	230	26	46	59	0	26	47	78	70	61	0	0	0	39	41
SP62110	7	38	35	16	60	95	41	4	37	46	0	145	0	0	0	4	4
SP64546	224	0	140	57	0	39	26	1	0	0	45	0	14	15	0	7	0
SP63546	24	1	4	43	32	88	0	3	57	18	112	7	0	0	12	17	8
SP60322	142	15	33	0	13	0	93	2	55	27	15	0	0	0	0	0	7
SP60243	169	0	188	21	11	1	35	1	44	0	1	23	0	0	0	0	18
SP63966	16	46	10	126	75	47	0	0	0	77	0	80	41	0	0	0	3
SP60362	5	23	5	76	19	29	14	2	15	7	0	0	3	0	0	7	52
SP69077	579	2	530	29	38	118	0	4	35	0	0	28	13	4	0	3	44
SP67346	57	19	31	52	46	132	0	0	48	18	163	14	74	0	0	0	0
SP66687	12	31	9	166	65	60	0	2	44	0	8	41	0	0	2	5	0
SP63716	9	2	9	78	12	52	14	2	4	0	0	5	0	0	59	2	0
SP65376	460	26	341	22	37	46	394	4	0	0	0	0	0	0	0	0	0
SP61343	3	14	3	44	32	39	0	1	62	46	0	14	2	0	6	7	0
SP60001	505	35	76	0	24	57	83	5	34	98	50	1	47	0	4	2	3
SP59860	51	32	52	50	54	26	0	4	96	16	86	101	0	0	0	1	32
SP60610	0	5	6	62	12	37	34	0	0	0	0	14	15	0	0	1	28
SP64036	232	40	265	72	19	3	0	8	68	53	11	0	0	0	0	19	0
SP60842	94	36	61	11	20	46	220	11	35	29	0	0	0	0	0	7	7
CPCT02020307T	12	68	22	94	35	67	0	55	37	0	35	28	0	48	0	4	19
CPCT02020333T	461	20	224	29	16	109	92	92	11	14	35	15	58	68	0	27	21
CPCT02080024T	50	47	2	71	19	21	31	67	84	33	50	39	0	62	0	21	5
CPCT02030259TII	148	64	77	27	41	53	330	73	0	0	0	0	0	11	0	23	0
CPCT02040038T	560	9	187	81	36	1	42	80	67	40	0	42	0	31	0	10	0
CPCT02030250T	10	28	0	38	33	20	31	60	111	57	6	114	0	65	0	7	78
CPCT02050058T	74	105	66	0	255	60	0	116	43	63	60	83	0	30	42	14	40
CPCT02020393T	23	228	50	0	42	16	0	65	59	106	38	12	31	64	0	0	7
CPCT02030280T	584	143	208	187	126	146	51	80	80	0	0	56	32	65	0	15	0
CPCT02030278T	786	49	125	58	38	42	155	38	37	0	7	0	52	77	0	21	26
CPCT02100030T	120	110	31	39	36	63	0	83	190	13	68	18	40	46	0	54	0
CPCT02060056T	125	33	25	49	14	6	222	71	0	73	0	0	11	28	81	11	1
CPCT02030296T	450	12	105	59	13	0	247	103	37	19	0	29	0	91	0	12	0
CPCT02060046T	0	64	3	70	5	14	26	32	0	0	35	5	0	12	0	14	0
CPCT02130056T	24	141	13	0	96	5	97	53	0	0	59	32	113	47	0	11	0
CPCT02180051T	8	43	29	66	15	0	15	67	16	13	20	5	82	20	0	19	15
CPCT02070434T	38	33	69	8	26	85	47	26	159	53	140	0	65	21	0	31	4
DRUP01210006T	573	45	106	0	15	13	0	55	36	16	82	0	54	9	0	375	15
CPCT02020659T	127	51	38	76	22	0	8	75	0	23	13	13	31	17	0	5	0
CPCT02080191T	666	33	104	47	85	48	439	181	57	27	0	0	0	75	0	40	0
CPCT02330084T	7	36	14	95	23	35	0	30	8	16	1	41	30	46	0	15	9
CPCT02360009T	43	296	0	134	376	93	22	76	0	0	13	82	24	84	0	84	64
CPCT02060196T	2	8	6	37	17	2	59	59	40	0	12	24	0	0	0	3	0
CPCT02290028T	0	81	26	64	62	0	0	102	59	43	19	74	0	19	0	8	22
CPCT02030455T	206	155	117	53	30	0	197	76	24	103	0	0	0	25	0	35	0
CPCT02080198T	0	40	14	0	4	0	0	80	6	1	7	3	31	11	60	8	0
CPCT02010679T	4	3	13	27	10	0	0	90	0	17	44	0	0	0	0	1	7
CPCT02100152T	352	0	242	53	33	171	86	100	122	0	0	0	117	98	0	5	0
CPCT02070465T	728	9	579	72	70	73	0	60	44	43	120	23	0	103	0	30	5
CPCT02040224T	150	37	105	44	60	7	169	67	69	0	81	51	0	12	0	24	43
DRUP01060007T	2	16	9	34	7	0	0	105	0	26	0	4	18	31	35	2	2
CPCT02040223T	0	67	32	38	48	0	0	88	83	33	97	45	0	25	0	0	0
CPCT02270023T	273	91	88	118	58	0	130	60	38	0	0	75	0	75	69	20	0
CPCT02220079T	31	32	27	303	23	22	0	36	87	0	44	2	61	5	4	29	18
CPCT02230082T	111	4	81	20	24	26	31	83	51	0	89	0	0	37	26	0	1
CPCT02090043T	9	64	8	43	14	0	0	42	0	8	7	0	0	8	120	8	0
CPCT02130051T	124	25	162	7	26	0	88	271	62	108	0	0	0	0	49	4	0
CPCT02030259TIII	151	45	100	36	40	61	204	55	0	4	0	0	0	47	0	15	6
DRUP01020026T	2	212	55	93	54	149	0	198	0	90	0	0	0	38	88	1	36
CPCT02210046T	21	0	39	70	25	43	0	117	3	0	0	22	112	3	9	22	9
CPCT02120120T	0	56	16	0	56	47	0	58	12	26	0	0	0	25	0	5	32
WIDE01010205T	120	75	32	56	38	53	308	57	86	76	0	0	0	5	0	31	6
CPCT02340080T	0	0	18	83	12	24	16	99	0	0	40	0	9	24	0	1	2
WIDE01010216T	15	68	5	255	39	0	0	25	18	8	42	0	0	67	0	6	105
CPCT02130087T	37	31	84	73	94	56	0	141	30	0	19	60	213	0	0	11	29
WIDE01010264T	2	38	7	35	53	53	0	19	16	11	4	11	0	49	0	14	37
CPCT02130085T	0	456	15	122	53	0	0	78	129	89	0	19	0	35	0	12	22
WIDE01010292T	2	17	0	0	38	0	0	14	0	0	12	1	0	30	0	17	17
WIDE01010277T	0	229	1	0	62	14	0	14	10	11	0	53	0	58	0	0	2
CPCT02120118T	7	49	18	6	10	0	0	65	0	52	0	23	0	23	0	5	20
